"decimallongitude","decimallatitude","year","stateprovince"
-76.466682,42.351985,1971,"New York"
-76.452412,42.479597,1987,"New York"
-78.774226,45.61267,1971,"Ontario"
-77.769259,45.508077,1963,"Ontario"
-73.864295,41.370191,1963,"New York"
-94.123246,32.711735,1970,"Texas"
-96.356073,33.361402,1969,"Texas"
-94.123246,32.711735,1970,"Texas"
-95.463306,34.341655,1966,"Oklahoma"
-97.86336,33.051067,1968,"Texas"
-96.864435,32.853793,1965,"Texas"
-97.03741,33.161839,1969,"Texas"
-97.16164,33.19208,1966,"Texas"
-97.261869,33.204379,1970,"Texas"
-91.043817,33.330866,1990,"Mississippi"
-97.705384,33.067233,1968,"Texas"
-98.26833,32.67917,1969,"Texas"
-96.018229,32.247872,1970,"Texas"
-97.831288,33.19034,1970,"Texas"
-100.12611,32.387855,1973,"Texas"
-95.907659,33.684234,1969,"Texas"
-96.175656,33.728257,1969,"Texas"
-97.160118,33.248913,1965,"Texas"
-98.918224,31.606352,2002,"Texas"
-100.558545,31.511966,1967,"Texas"
-100.531919,31.447888,1970,"Texas"
-91.043817,33.330866,1990,"Mississippi"
-97.03741,33.161839,1969,"Texas"
-97.442664,33.260873,1968,"Texas"
-97.251913,33.102916,1970,"Texas"
-91.043817,33.330866,1990,"Mississippi"
-95.242047,29.096377,1990,"Texas"
-100.530445,32.047747,1975,"Texas"
-97.776042,33.295828,1968,"Texas"
-101.821675,33.592081,1968,"Texas"
-96.08974,33.663381,1969,"Texas"
-96.018467,33.635167,1969,"Texas"
-98.269319,32.696187,1969,"Texas"
-94.88167,33.392661,1967,"Texas"
-98.185813,32.633041,1969,"Texas"
-99.041574,30.586296,1972,"Texas"
-94.124344,33.144087,1969,"Texas"
-96.864435,32.853793,1965,"Texas"
-100.495426,31.929524,1975,"Texas"
-98.151939,32.650979,1969,"Texas"
-97.793491,30.246687,1964,"Texas"
-97.442664,33.260873,1968,"Texas"
-97.458108,33.006845,1968,"Texas"
-100.678417,32.067242,1975,"Texas"
-98.257859,32.628352,1969,"Texas"
-100.12611,32.387855,1973,"Texas"
-94.175258,32.737874,1968,"Texas"
-99.108208,30.591802,1972,"Texas"
-96.018467,33.635167,1969,"Texas"
-94.01005,31.761372,1969,"Texas"
-94.124344,33.144087,1969,"Texas"
-99.383655,31.405161,1970,"Texas"
-97.178098,33.284776,1966,"Texas"
-96.062412,33.737724,1969,"Texas"
-97.52203,33.737902,1969,"Texas"
-101.7136,34.193666,1990,"Texas"
-95.377845,32.322171,1970,"Texas"
-97.639671,33.666464,1968,"Texas"
-91.043817,33.330866,1990,"Mississippi"
-97.46527,33.331673,1969,"Texas"
-99.248067,30.720155,1972,"Texas"
-97.170889,33.249325,1965,"Texas"
-94.069301,32.746176,1970,"Texas"
-100.516534,31.461732,1999,"Texas"
-97.220714,33.298355,1965,"Texas"
-99.207529,30.728022,1972,"Texas"
-97.438279,28.097064,1969,"Texas"
-97.438279,28.097064,1969,"Texas"
-99.23028,30.719578,1973,"Texas"
-98.24667,33.082611,1963,"Texas"
-100.48119,31.49006,1970,"Texas"
-100.580444,31.373663,1973,"Texas"
-97.438279,28.097064,1969,"Texas"
-99.214854,30.917192,1973,"Texas"
-95.26,40.062,2015,"Missouri"
-86.2406158,39.2096695,2007,"Indiana"
