Record_number,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
1,PhysicalObject,46:11.0,http://creativecommons.org/publicdomain/zero/1.0/,University of Alberta Museums,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Record ID: urn:catalog:UAMZ:A1552. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),http://portal.vertnet.org/o/uamz/uamz?id=urn-catalog-uamz-a1552,,,,University of Alberta Museums,UAMZ,University of Alberta Amphibian and Reptile Collection (UAMZ),PreservedSpecimen,,,,urn:catalog:UAMZ:A1552,A1552,,"Holmes, J. C.",1,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,08/31/1966,,243,243,1966,8,31,08/31/1966,,,,,,,,North America | United States | Texas | Harris County,North America,,,,United States,,Texas,Harris County,,Tomball,,,,,,,,,,Getty Thesaurus of Geographic Names,,30.083333,-95.6,not recorded,150,,,,,,,,,"Gierent, Shaun",17-Sep-03,,Place Authority: Getty Thesaurus of Geographic Names,,"""Originally georeferenced as 30Â°05'00""""N - 095Â°36'00""""W. Decimal degrees in Georeferenced Latitude/ Longitude fields should be updated to reflect real precision as per GBIF (i.e., decimal degrees).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Animalia | Chordata | Amphibia | Anura | Ranidae | Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,Lithobates catesbeianus,,Species,,,American bullfrog,,,,,,,,,,,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),88d7437e-f762-11e1-a439-00145eb45e9a,03cb9700-6cee-11d8-922d-b8a03c50a862,cindy.paszkowski@ualberta.ca,Cindy Paszkowski,10/15/2015,08/12/2016,no migrator,0,0,0,0,specimen,0
2,PhysicalObject,46:11.0,http://creativecommons.org/publicdomain/zero/1.0/,University of Alberta Museums,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Record ID: urn:catalog:UAMZ:A1585. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),http://portal.vertnet.org/o/uamz/uamz?id=urn-catalog-uamz-a1585,,,,University of Alberta Museums,UAMZ,University of Alberta Amphibian and Reptile Collection (UAMZ),PreservedSpecimen,,,,urn:catalog:UAMZ:A1585,A1585,,"Lewin, V.",1,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,06/15/1966,,166,166,1966,6,15,06/15/1966,,,,,,,,North America | United States | Hawaii state | Hawaii County,North America,,,,United States,,Hawaii state,Hawaii County,,Kamuela,1 mi W Kamuela,,,,,,,,,Getty Thesaurus of Geographic Names,,20.00954,-155.65415,WGS84,9566,,,,,,,,,"Igeta, K.",03/16/2005,,DeLorme Topo USA version 5.0,,"""assume Waimea CDP. Coords placed 1 mi W of approx. geographic center of Waimea (Kamuela) CDP; e; Originally georeferenced as 20Â°00'34""""N - 155Â°39'15""""W. Decimal degrees in Georeferenced Latitude/ Longitude fields should be updated to reflect real precision as per GBIF (i.e., decimal degrees).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Animalia | Chordata | Amphibia | Anura | Ranidae | Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,Lithobates catesbeianus,,Species,,,American bullfrog,,,,,,,,,,,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),88d7437e-f762-11e1-a439-00145eb45e9a,03cb9700-6cee-11d8-922d-b8a03c50a862,cindy.paszkowski@ualberta.ca,Cindy Paszkowski,10/15/2015,08/12/2016,no migrator,0,0,0,0,specimen,0
3,PhysicalObject,46:11.0,http://creativecommons.org/publicdomain/zero/1.0/,University of Alberta Museums,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Record ID: urn:catalog:UAMZ:A1586. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),http://portal.vertnet.org/o/uamz/uamz?id=urn-catalog-uamz-a1586,,,,University of Alberta Museums,UAMZ,University of Alberta Amphibian and Reptile Collection (UAMZ),PreservedSpecimen,,,,urn:catalog:UAMZ:A1586,A1586,,"Lewin, V.",1,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,06/12/1966,,163,163,1966,6,12,06/12/1966,,,,,,,,North America | United States | Hawaii state | Hawaii County,North America,,,,United States,,Hawaii state,Hawaii County,,Kamuela,1 mi W Kamuela,,,,,,,,,Getty Thesaurus of Geographic Names,,20.00954,-155.65415,WGS84,9566,,,,,,,,,"Igeta, K.",03/16/2005,,DeLorme Topo USA version 5.0,,"""assume Waimea CDP. Coords placed 1 mi W of approx. geographic center of Waimea (Kamuela) CDP; e; Originally georeferenced as 20Â°00'34""""N - 155Â°39'15""""W. Decimal degrees in Georeferenced Latitude/ Longitude fields should be updated to reflect real precision as per GBIF (i.e., decimal degrees).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Animalia | Chordata | Amphibia | Anura | Ranidae | Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,Lithobates catesbeianus,,Species,,,American bullfrog,,,,,,,,,,,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),88d7437e-f762-11e1-a439-00145eb45e9a,03cb9700-6cee-11d8-922d-b8a03c50a862,cindy.paszkowski@ualberta.ca,Cindy Paszkowski,10/15/2015,08/12/2016,no migrator,0,0,0,0,specimen,0
4,PhysicalObject,46:11.0,http://creativecommons.org/publicdomain/zero/1.0/,University of Alberta Museums,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Record ID: urn:catalog:UAMZ:A1587. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),http://portal.vertnet.org/o/uamz/uamz?id=urn-catalog-uamz-a1587,,,,University of Alberta Museums,UAMZ,University of Alberta Amphibian and Reptile Collection (UAMZ),PreservedSpecimen,,,,urn:catalog:UAMZ:A1587,A1587,,"Lewin, V.",1,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,06/10/1966,,161,161,1966,6,10,06/10/1966,,,,,,,,North America | United States | Hawaii state | Hawaii County,North America,,,,United States,,Hawaii state,Hawaii County,,Kamuela,1 mi W Kamuela,,,,,,,,,Getty Thesaurus of Geographic Names,,20.00954,-155.65415,WGS84,9566,,,,,,,,,"Igeta, K.",03/16/2005,,DeLorme Topo USA version 5.0,,"""assume Waimea CDP. Coords placed 1 mi W of approx. geographic center of Waimea (Kamuela) CDP; e; Originally georeferenced as 20Â°00'34""""N - 155Â°39'15""""W. Decimal degrees in Georeferenced Latitude/ Longitude fields should be updated to reflect real precision as per GBIF (i.e., decimal degrees).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Animalia | Chordata | Amphibia | Anura | Ranidae | Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,Lithobates catesbeianus,,Species,,,American bullfrog,,,,,,,,,,,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),88d7437e-f762-11e1-a439-00145eb45e9a,03cb9700-6cee-11d8-922d-b8a03c50a862,cindy.paszkowski@ualberta.ca,Cindy Paszkowski,10/15/2015,08/12/2016,no migrator,0,0,0,0,specimen,0
5,PhysicalObject,46:12.0,http://creativecommons.org/publicdomain/zero/1.0/,University of Alberta Museums,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Record ID: urn:catalog:UAMZ:A1589. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),http://portal.vertnet.org/o/uamz/uamz?id=urn-catalog-uamz-a1589,,,,University of Alberta Museums,UAMZ,University of Alberta Amphibian and Reptile Collection (UAMZ),PreservedSpecimen,,,,urn:catalog:UAMZ:A1589,A1589,,"Lewin, V.",1,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,06/10/1966,,161,161,1966,6,10,06/10/1966,,,,,,,,North America | United States | Hawaii state | Hawaii County,North America,,,,United States,,Hawaii state,Hawaii County,,Kamuela,1 mi W Kamuela,,,,,,,,,Getty Thesaurus of Geographic Names,,20.00954,-155.65415,WGS84,9566,,,,,,,,,"Igeta, K.",03/16/2005,,DeLorme Topo USA version 5.0,,"""assume Waimea CDP. Coords placed 1 mi W of approx. geographic center of Waimea (Kamuela) CDP; e; Originally georeferenced as 20Â°00'34""""N - 155Â°39'15""""W. Decimal degrees in Georeferenced Latitude/ Longitude fields should be updated to reflect real precision as per GBIF (i.e., decimal degrees).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Animalia | Chordata | Amphibia | Anura | Ranidae | Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,Lithobates catesbeianus,,Species,,,American bullfrog,,,,,,,,,,,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),88d7437e-f762-11e1-a439-00145eb45e9a,03cb9700-6cee-11d8-922d-b8a03c50a862,cindy.paszkowski@ualberta.ca,Cindy Paszkowski,10/15/2015,08/12/2016,no migrator,0,0,0,0,specimen,0
6,PhysicalObject,46:11.0,http://creativecommons.org/publicdomain/zero/1.0/,University of Alberta Museums,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Record ID: urn:catalog:UAMZ:A219. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),http://portal.vertnet.org/o/uamz/uamz?id=urn-catalog-uamz-a219,,,,University of Alberta Museums,UAMZ,University of Alberta Amphibian and Reptile Collection (UAMZ),PreservedSpecimen,,,,urn:catalog:UAMZ:A219,A219,,unknown,1,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,09/14/1924,,258,258,1924,9,14,09/14/1924,,,,,,,,North America | Canada | Ontario,North America,,,,Canada,,Ontario,,,Haliburton,,,,,,,,,,Canadian Geographical Names Data Base,,45.05,-78.516667,not recorded,1000,,,,,,,,,"Gierent, Shaun",26-Sep-03,,Place Authority: Canadian Geographical Names Data Base,,"""Originally georeferenced as 45Â°03'00""""N - 078Â°31'00""""W. Decimal degrees in Georeferenced Latitude/ Longitude fields should be updated to reflect real precision as per GBIF (i.e., decimal degrees).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Animalia | Chordata | Amphibia | Anura | Ranidae | Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,Lithobates catesbeianus,,Species,,,American bullfrog,,,,,,,,,,,,University of Alberta Museums. University of Alberta Amphibian and Reptile Collection (UAMZ). Dataset DOI: doi:10.18165/qmltit. Source: http://web.macs.ualberta.ca:8088/ipt/resource?r=uamz-herpetology (source published on 2015-10-15),88d7437e-f762-11e1-a439-00145eb45e9a,03cb9700-6cee-11d8-922d-b8a03c50a862,cindy.paszkowski@ualberta.ca,Cindy Paszkowski,10/15/2015,08/12/2016,no migrator,0,0,0,0,specimen,0
7,PhysicalObject,04/06/2015,CC0,,http://vertnet.org/resources/norms.html,University of British Columbia Beaty Biodiversity Museum. Cowan Tetrapod Collection - Herpetology. Record ID: urn:catalog:UBCBBM:CTC:H000866. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ubc_bbm_ctc_herps (source published on 2015-04-07),http://portal.vertnet.org/o/ubcbbm/ctc?id=urn-catalog-ubcbbm-ctc-h000866,,,,UBCBBM,CTC,Cowan Tetrapod Collection - Herpetology,PreservedSpecimen,,,,urn:catalog:UBCBBM:CTC:H000866,H000866,,W.A. Benson,1,,tadpole,,,,present,alcoholic,in collection,,,,,,,,,,,,,,,,,03/27/1949,,86,86,1949,3,27,27-Mar-49,,,,,,,,North America | Canada | BC | Lower Mainland |  |  |  |,North America,,,,Canada,CA,British Columbia,,,"Vancouver; near Fraser River, at foot of Blenheim",North America | Canada | BC | Lower Mainland,,,,,,,,,,,49.21771,-123.179151,WGS84,201,,,,,,,,,C. Stinson (UBCBBM),03/08/2013,VertNet Georeferencing Guidelines,Google Earth,verified by curator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Animalia | Chordata | Amphibia | Anura | Ranidae | Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,tadpole,,,University of British Columbia Beaty Biodiversity Museum. Cowan Tetrapod Collection - Herpetology. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ubc_bbm_ctc_herps (source published on 2015-04-07),df9c8b86-9d36-4e29-91b3-4274dff053e5,b542788f-0dc2-4a2b-b652-fceced449591,ildiko@zoology.ubc.ca,Ildiko Szabo,04/07/2015,08/12/2016,04/04/2015,0,1,0,0,specimen,0
8,Sound,10/18/2015,CC0,,http://vertnet.org/resources/norms.html,Florida Museum of Natural History. UF FLMNH Ornithology. Record ID: urn:catalog:UF:Audio:26154. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=flmnh_birds (source published on 2015-11-05),http://portal.vertnet.org/o/uf/audio?id=urn-catalog-uf-audio-26154,urn:lsid:biocol.org:col:34858,,,UF,Audio,,MachineObservation,,,,urn:catalog:UF:Audio:26154,26154,,"Ben B, Jr. Coffey",,undetermined,unknown,,,,present,,,,,,,BBC1964-42,"georeferenceRemarks: In GEOLocate, center marker placed between the towns Kosciusko and Ethel; uncertainty extends to the outer limits of each city.",,,,,,,,,,,05/23/1964,,144,144,1964,5,23,05/23/1964,,,,,,,,North America | USA | Mississippi | Attala |  |  |  |,North America,,,,United States,US,Mississippi,Attala,,"; back road N to EthelE of Kosciusko, SW of Ethel","North America | USA | Mississippi | Attala | ; back road N to EthelE of Kosciusko, SW of Ethel",,,,,,,,,,,33.090658,-89.520418,WGS84,5090,,,33.090658,-89.520418,,,,,,,,,requires verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,unknown,unknown,,Florida Museum of Natural History. UF FLMNH Ornithology. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=flmnh_birds (source published on 2015-11-05),temp-flmnh-birds-datasetid,8483a1f0-1032-11db-ae00-b8a03c50a862,twebber@flmnh.ufl.edu,Tom Webber,11/05/2015,08/12/2016,10/15/2015,1,0,0,0,observation,0
9,Sound,10/18/2015,CC0,,http://vertnet.org/resources/norms.html,Florida Museum of Natural History. UF FLMNH Ornithology. Record ID: urn:catalog:UF:Audio:26401. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=flmnh_birds (source published on 2015-11-05),http://portal.vertnet.org/o/uf/audio?id=urn-catalog-uf-audio-26401,urn:lsid:biocol.org:col:34858,,,UF,Audio,,MachineObservation,,,,urn:catalog:UF:Audio:26401,26401,,"Ben B, Jr. Coffey",,undetermined,unknown,,,,present,,,,,,,BBC1986-5,"Reel 3 of 3 in set. Clips accepted due to microhone noise. georeferencingRemarks: Point placed in center of road, uncertainty extent to road intersection with Highway 60 to the south.",,,,,,,,,,,06/19/1986,,170,170,1986,6,19,06/19/1986,,,,,,,,NORTH AMERICA | CANADA | ONTARIO | NIPISSING DISTRICT |  |  |  |,North America,,,,Canada,CA,Ontario,Nipissing,,Opeongo Lake Road; Algonquin Provincial ParkWhitney (N of),North America | Canada | Ontario | Nipissing District | Opeongo Lake Road; Algonquin Provincial ParkWhitney (N of),,,,,,,,,,,45.615347,-78.342758,WGS84,2725,,,45.615347,-78.342758,,,,,,,,,requires verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,Lithobates,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,unknown,unknown,,Florida Museum of Natural History. UF FLMNH Ornithology. Source: http://ipt.vertnet.org:8080/iptstrays/resource.do?r=flmnh_birds (source published on 2015-11-05),temp-flmnh-birds-datasetid,8483a1f0-1032-11db-ae00-b8a03c50a862,twebber@flmnh.ufl.edu,Tom Webber,11/05/2015,08/12/2016,10/15/2015,1,0,0,0,observation,0
10,PhysicalObject,2016-02-28T17:58:48.000Z,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj","Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Record ID: urn:uuid:010d33b3-6aa5-4a6e-824d-43595d630adc. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",http://collections.peabody.yale.edu/search/Record/YPM-HERA-012504,,,,YPM,VZ,,PreservedSpecimen,,,"{ ""solr_long_lat"": ""-70.75729687,43.42437184"" }",urn:uuid:010d33b3-6aa5-4a6e-824d-43595d630adc,YPM HERA 012504,,,1,male,adult,,,,,10% form.->70% alc.,,,||,,,,number 12504; lot count 1,,,,,,Rana catesbeiana|Lithobates catesbeianus|Rana catesbeiana,,,,TBP-383,09/11/2007,,254,254,2007,9,11,09/11/2007,,,,,,,,North America; USA; Maine; York County; Sanford,North America,,,,USA,,Maine,York County,Sanford,"SR 4 ca. 20 m S Jagger Mill Road, or 0.3 mi. N Jct. SR 109",,,,,,,,,,,,43.42437184,-70.75729687,WGS84,10552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,Animalia; Chordata; Vertebrata; Amphibia; Anura; Ranidae,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,Species,,"Shaw, 1802",American Bullfrog; Ranid Frogs; Frogs; Amphibians; vertebrates; chordates; animals,ICZN,,,,,,,,adult,male,,"Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",861d3d64-f762-11e1-a439-00145eb45e9a,2e167bb0-4441-11db-9ba2-b8a03c50a862,lawrence.gall@yale.edu,Larry Gall,10/09/2015,08/11/2016,no migrator,0,0,0,0,specimen,0
